DeltaS, gs_value[GS_RIGHT], gs_value[GS_LEFT],lfm_speed[LEFT],lfm_speed[RIGHT]
-3, 754, 757, 201, 198
-3, 753, 756, 201, 198
2, 759, 757, 199, 200
1, 758, 757, 199, 200
-1, 756, 757, 200, 199
-3, 755, 758, 201, 198
-5, 754, 759, 202, 198
0, 757, 757, 200, 200
0, 756, 756, 200, 200
-3, 757, 760, 201, 198
3, 759, 756, 198, 201
-2, 755, 757, 200, 199
2, 758, 756, 199, 200
-2, 759, 761, 200, 199
-1, 756, 757, 200, 199
-1, 755, 756, 200, 199
-1, 756, 757, 200, 199
-3, 759, 762, 201, 198
-4, 756, 760, 201, 198
-1, 757, 758, 200, 199
0, 756, 756, 200, 200
0, 757, 757, 200, 200
-1, 758, 759, 200, 199
-5, 755, 760, 202, 198
0, 753, 753, 200, 200
4, 757, 753, 198, 201
-3, 755, 758, 201, 198
6, 759, 753, 197, 202
2, 757, 755, 199, 200
-4, 758, 762, 201, 198
1, 757, 756, 199, 200
-1, 756, 757, 200, 199
-2, 758, 760, 200, 199
0, 755, 755, 200, 200
-2, 758, 760, 200, 199
-1, 757, 758, 200, 199
0, 756, 756, 200, 200
3, 762, 759, 198, 201
0, 755, 755, 200, 200
2, 759, 757, 199, 200
5, 760, 755, 198, 202
1, 758, 757, 199, 200
-3, 753, 756, 201, 198
2, 759, 757, 199, 200
3, 761, 758, 198, 201
6, 761, 755, 197, 202
4, 759, 755, 198, 201
-3, 755, 758, 201, 198
0, 757, 757, 200, 200
-2, 756, 758, 200, 199
3, 760, 757, 198, 201
2, 759, 757, 199, 200
2, 755, 753, 199, 200
0, 756, 756, 200, 200
1, 755, 754, 199, 200
-3, 756, 759, 201, 198
0, 757, 757, 200, 200
0, 757, 757, 200, 200
-2, 757, 759, 200, 199
5, 759, 754, 198, 202
-1, 756, 757, 200, 199
-1, 755, 756, 200, 199
1, 756, 755, 199, 200
2, 756, 754, 199, 200
-86, 758, 844, 234, 165
-84, 761, 845, 233, 166
0, 760, 760, 200, 200
-6, 754, 760, 202, 197
-1, 758, 759, 200, 199
-2, 755, 757, 200, 199
1, 758, 757, 199, 200
-1, 756, 757, 200, 199
-1, 755, 756, 200, 199
-1, 755, 756, 200, 199
3, 759, 756, 198, 201
-81, 755, 836, 232, 167
-85, 757, 842, 234, 166
-85, 757, 842, 234, 166
-86, 754, 840, 234, 165
-84, 758, 842, 233, 166
-82, 759, 841, 232, 167
-88, 757, 845, 235, 164
-91, 754, 845, 236, 163
49, 760, 711, 180, 219
46, 757, 711, 181, 218
40, 755, 715, 184, 216
45, 757, 712, 182, 218
-85, 756, 841, 234, 166
-83, 758, 841, 233, 166
-88, 755, 843, 235, 164
-86, 758, 844, 234, 165
-85, 756, 841, 234, 166
-88, 757, 845, 235, 164
-88, 757, 845, 235, 164
-57, 755, 812, 222, 177
-4, 805, 809, 201, 198
-52, 757, 809, 220, 179
-89, 755, 844, 235, 164
-79, 759, 838, 231, 168
-80, 757, 837, 232, 168
-93, 749, 842, 237, 162
-82, 755, 837, 232, 167
-83, 758, 841, 233, 166
-84, 754, 838, 233, 166
-90, 752, 842, 236, 164
-74, 765, 839, 229, 170
-72, 767, 839, 228, 171
-79, 763, 842, 231, 168
-1, 839, 840, 200, 199
2, 844, 842, 199, 200
-5, 838, 843, 202, 198
-5, 840, 845, 202, 198
-3, 840, 843, 201, 198
-1, 843, 844, 200, 199
0, 844, 844, 200, 200
-4, 841, 845, 201, 198
-4, 839, 843, 201, 198
-3, 840, 843, 201, 198
-1, 844, 845, 200, 199
2, 844, 842, 199, 200
0, 844, 844, 200, 200
1, 841, 840, 199, 200
-6, 841, 847, 202, 197
0, 842, 842, 200, 200
-2, 840, 842, 200, 199
1, 841, 840, 199, 200
-4, 839, 843, 201, 198
-4, 840, 844, 201, 198
7, 844, 837, 197, 202
-1, 843, 844, 200, 199
2, 841, 839, 199, 200
2, 841, 839, 199, 200
-2, 840, 842, 200, 199
1, 842, 841, 199, 200
1, 843, 842, 199, 200
2, 843, 841, 199, 200
-1, 841, 842, 200, 199
3, 841, 838, 198, 201
3, 843, 840, 198, 201
-3, 843, 846, 201, 198
1, 841, 840, 199, 200
2, 843, 841, 199, 200
-1, 844, 845, 200, 199
-1, 842, 843, 200, 199
2, 847, 845, 199, 200
-1, 843, 844, 200, 199
0, 844, 844, 200, 200
-2, 840, 842, 200, 199
-3, 839, 842, 201, 198
-1, 843, 844, 200, 199
2, 842, 840, 199, 200
-8, 837, 845, 203, 196
-3, 840, 843, 201, 198
-2, 840, 842, 200, 199
-1, 842, 843, 200, 199
0, 842, 842, 200, 200
-1, 842, 843, 200, 199
2, 840, 838, 199, 200
-6, 840, 846, 202, 197
-5, 838, 843, 202, 198
1, 844, 843, 199, 200
1, 843, 842, 199, 200
-1, 845, 846, 200, 199
-3, 842, 845, 201, 198
-2, 843, 845, 200, 199
1, 842, 841, 199, 200
0, 846, 846, 200, 200
3, 841, 838, 198, 201
0, 846, 846, 200, 200
-2, 842, 844, 200, 199
2, 842, 840, 199, 200
0, 842, 842, 200, 200
0, 842, 842, 200, 200
-1, 843, 844, 200, 199
0, 845, 845, 200, 200
-4, 841, 845, 201, 198
-1, 844, 845, 200, 199
